GPST,x_y,y_y,z_y
2024/02/14 04:19:28.00,461329.8229,5634439.4938,2945929.5375
2024/02/14 04:19:29.00,461329.8225,5634439.494,2945929.539
2024/02/14 04:19:30.00,461329.8234,5634439.4981,2945929.5394
2024/02/14 04:19:31.00,461329.8237,5634439.494,2945929.5371
2024/02/14 04:19:32.00,461329.8229,5634439.4981,2945929.5392
2024/02/14 04:19:33.00,461329.822,5634439.4956,2945929.5378
2024/02/14 04:19:34.00,461329.8222,5634439.4979,2945929.5386
2024/02/14 04:19:35.00,461329.8225,5634439.5024,2945929.5402
2024/02/14 04:19:36.00,461329.8234,5634439.4999,2945929.5395
2024/02/14 04:19:37.00,461329.8227,5634439.5005,2945929.5405
2024/02/14 04:19:38.00,461329.823,5634439.5025,2945929.5382
2024/02/14 04:19:39.00,461329.8219,5634439.5063,2945929.5404
2024/02/14 04:19:40.00,461329.823,5634439.5017,2945929.5391
2024/02/14 04:19:41.00,461329.8237,5634439.5027,2945929.5386
2024/02/14 04:19:42.00,461329.8222,5634439.5024,2945929.5385
2024/02/14 04:19:43.00,461329.8229,5634439.5028,2945929.5404
2024/02/14 04:19:44.00,461329.8225,5634439.5014,2945929.5382
2024/02/14 04:19:45.00,461329.8231,5634439.5039,2945929.5408
2024/02/14 04:19:46.00,461329.8244,5634439.5079,2945929.5418
2024/02/14 04:19:47.00,461329.8228,5634439.5069,2945929.5402
2024/02/14 04:19:48.00,461329.8246,5634439.5094,2945929.5414
2024/02/14 04:19:49.00,461329.8234,5634439.5082,2945929.5404
2024/02/14 04:19:50.00,461329.8234,5634439.5099,2945929.541
2024/02/14 04:19:51.00,461329.8238,5634439.5078,2945929.5399
2024/02/14 04:19:52.00,461329.8232,5634439.5125,2945929.5407
2024/02/14 04:19:53.00,461329.8232,5634439.5131,2945929.5421
2024/02/14 04:19:54.00,461329.8225,5634439.5102,2945929.5395
2024/02/14 04:19:55.00,461329.8213,5634439.5125,2945929.5404
2024/02/14 04:19:56.00,461329.7726,5634434.5414,2945931.0302
2024/02/14 04:19:57.00,461329.822,5634439.5125,2945929.5403
2024/02/14 04:19:58.00,461329.8227,5634439.513,2945929.5409
2024/02/14 04:19:59.00,461329.8229,5634439.5138,2945929.5407
2024/02/14 04:20:00.00,461329.8223,5634439.5112,2945929.54
2024/02/14 04:20:01.00,461329.822,5634439.5136,2945929.5405
2024/02/14 04:20:02.00,461329.8227,5634439.5135,2945929.5414
2024/02/14 04:20:03.00,461329.822,5634439.5104,2945929.5398
2024/02/14 04:20:04.00,461329.8224,5634439.5133,2945929.5405
2024/02/14 04:20:05.00,461329.8234,5634439.5137,2945929.5413
2024/02/14 04:20:06.00,461329.8222,5634439.5155,2945929.5399
2024/02/14 04:20:07.00,461329.8228,5634439.5135,2945929.5397
2024/02/14 04:20:08.00,461329.7719,5634434.5332,2945931.0299
2024/02/14 04:20:09.00,461329.7722,5634434.5323,2945931.0307
2024/02/14 04:20:10.00,461329.822,5634439.5165,2945929.5399
2024/02/14 04:20:11.00,461329.8227,5634439.5154,2945929.5394
2024/02/14 04:20:12.00,461329.8231,5634439.5159,2945929.5401
2024/02/14 04:20:13.00,461329.8226,5634439.516,2945929.5386
2024/02/14 04:20:14.00,461329.823,5634439.5194,2945929.5422
2024/02/14 04:20:15.00,461329.771,5634434.526,2945931.0286
2024/02/14 04:20:16.00,461329.7713,5634434.5266,2945931.0298
